trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.9979573012234487}",20,0,-114.38444068580705,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9978898022856412}",30,0,-207.10472370938882,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 4}",0
64,False,"{'a': 0.5, 'e': 0.9978212073615725}",20,0,-114.40514397137656,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9977515165265809}",20,0,-102.29232192854616,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9976807298572078}",20,0,-101.49129912433621,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9976088474311988}",25,0,-140.33428192002586,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9975358693275025}",25,0,-144.5795687591751,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.997461795626271}",30,0,-168.0087502133634,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9973866264088599}",20,0,-96.56366295817956,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9973103617578276}",30,0,-267.98291994928167,"{0: 14, 1: 1, 2: 10, 3: 1, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.9972330017569361}",20,0,-148.07220599689953,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.99715454649115}",20,0,-128.7384007404598,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9970749960466371}",25,0,-62.16668359046022,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.996994350510768}",30,0,-133.26207163044415,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.996912609972116}",30,0,-71.0738272591332,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.996829774520457}",20,0,-95.81964042137328,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9967458442467695}",20,0,-173.16915943153418,"{0: 7, 1: 2, 2: 7, 3: 3, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9966608192432345}",25,0,-125.74771207825131,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9965746996032353}",20,0,-60.07655716649694,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9964874854213573}",30,0,-209.75598703006602,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.9963991767933884}",20,0,-61.20027451207226,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9963097738163181}",30,0,-173.27742666328552,"{0: 16, 1: 1, 2: 9, 3: 3, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9962192765883383}",20,0,-300.23784049830726,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 7}",0
85,False,"{'a': 0.5, 'e': 0.9961276852088421}",20,0,-45.040940266611976,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
